category_code,country_code,state_code,age,success,number_degrees
biotech,USA,other,366.0,0,
hardware,USA,other,1.0,0,
games_video,USA,other,427.0,0,
software,other,other,1189.0,0,
games_video,USA,other,558.0,1,14.0
travel,other,other,232.0,0,
ecommerce,other,other,366.0,0,
other,USA,other,152.0,1,
games_video,other,other,366.0,0,
advertising,other,other,1403.0,0,
software,other,other,1333.0,0,
network_hosting,other,other,1.0,0,
security,USA,California,1219.0,0,
mobile,USA,other,276.0,0,
mobile,other,other,1177.0,1,
ecommerce,other,other,123.0,0,
travel,other,other,1097.0,0,
ecommerce,other,other,366.0,0,
ecommerce,USA,California,1097.0,0,
network_hosting,other,other,1097.0,0,
enterprise,USA,California,1097.0,0,
web,USA,other,731.0,0,
analytics,USA,California,662.0,1,
web,USA,other,1097.0,0,
